signal,horizon,method,correlation,p_value,n
hy_ig_realized_vol_21d,spy_fwd_252d,Pearson,0.2004,0.0,6596
vix_term_structure,spy_fwd_1d,Pearson,-0.0393,0.0048,5157
vix_term_structure,spy_fwd_5d,Pearson,-0.0091,0.5152,5153
vix_term_structure,spy_fwd_21d,Pearson,-0.0029,0.8331,5137
vix_term_structure,spy_fwd_63d,Pearson,-0.0187,0.1819,5095
vix_term_structure,spy_fwd_126d,Pearson,-0.0233,0.0984,5032
vix_term_structure,spy_fwd_252d,Pearson,-0.0479,0.0008,4906
yield_spread_10y3m_pct,spy_fwd_1d,Pearson,-0.0132,0.2726,6862
yield_spread_10y3m_pct,spy_fwd_5d,Pearson,-0.0332,0.006,6858
yield_spread_10y3m_pct,spy_fwd_21d,Pearson,-0.0584,0.0,6842
yield_spread_10y3m_pct,spy_fwd_63d,Pearson,-0.1069,0.0,6800
yield_spread_10y3m_pct,spy_fwd_126d,Pearson,-0.1183,0.0,6737
yield_spread_10y3m_pct,spy_fwd_252d,Pearson,-0.0823,0.0,6611
yield_spread_10y2y_pct,spy_fwd_1d,Pearson,-0.0007,0.954,6862
yield_spread_10y2y_pct,spy_fwd_5d,Pearson,-0.0033,0.7851,6858
yield_spread_10y2y_pct,spy_fwd_21d,Pearson,0.0006,0.9585,6842
yield_spread_10y2y_pct,spy_fwd_63d,Pearson,0.0009,0.9377,6800
yield_spread_10y2y_pct,spy_fwd_126d,Pearson,-0.002,0.8695,6737
yield_spread_10y2y_pct,spy_fwd_252d,Pearson,0.0068,0.582,6611
bank_smallcap_ratio,spy_fwd_1d,Pearson,-0.0189,0.1673,5331
bank_smallcap_ratio,spy_fwd_5d,Pearson,-0.0463,0.0007,5327
bank_smallcap_ratio,spy_fwd_21d,Pearson,-0.0983,0.0,5311
bank_smallcap_ratio,spy_fwd_63d,Pearson,-0.1823,0.0,5269
bank_smallcap_ratio,spy_fwd_126d,Pearson,-0.2576,0.0,5206
bank_smallcap_ratio,spy_fwd_252d,Pearson,-0.3719,0.0,5080
nfci_momentum_13w,spy_fwd_1d,Pearson,-0.0233,0.0546,6793
nfci_momentum_13w,spy_fwd_5d,Pearson,-0.0585,0.0,6789
nfci_momentum_13w,spy_fwd_21d,Pearson,-0.106,0.0,6773
nfci_momentum_13w,spy_fwd_63d,Pearson,-0.2102,0.0,6731
nfci_momentum_13w,spy_fwd_126d,Pearson,-0.195,0.0,6668
nfci_momentum_13w,spy_fwd_252d,Pearson,-0.1149,0.0,6542
bbb_ig_spread_pct,spy_fwd_1d,Pearson,0.0167,0.1672,6862
bbb_ig_spread_pct,spy_fwd_5d,Pearson,0.0351,0.0037,6858
bbb_ig_spread_pct,spy_fwd_21d,Pearson,0.0649,0.0,6842
bbb_ig_spread_pct,spy_fwd_63d,Pearson,0.0894,0.0,6800
bbb_ig_spread_pct,spy_fwd_126d,Pearson,0.1563,0.0,6737
bbb_ig_spread_pct,spy_fwd_252d,Pearson,0.2077,0.0,6611
