column,dtype,unit,display_name,direction,source,description
gold_copper_mom_63d,float64,ratio,G/C 63d Momentum (level diff),lower_is_better,derived: ratio[t] - ratio[t-63],63-trading-day level difference of gold_copper_ratio.
gold_copper_mom_252d,float64,ratio,G/C 252d Momentum (level diff),lower_is_better,derived: ratio[t] - ratio[t-252],252-trading-day level difference of gold_copper_ratio.
gold_copper_acceleration,float64,percent,G/C Acceleration,lower_is_better,derived: roc_21d[t] - roc_21d[t-21],Change in 21d rate-of-change (second-difference proxy). Captures inflection in the ratio trajectory.
gold_copper_realized_vol_21d,float64,ratio,"G/C Realized Vol (21d, ann.)",lower_is_better,"derived: std(pct_change(ratio), 21) * sqrt(252)",21-day annualized realized vol of daily ratio percent-changes. Decimal (0.30 = 30% annualized).
xli_ret,float64,decimal_return,XLI Daily Return,higher_is_better,derived: xli[t] / xli[t-1] - 1,1-day percent return of XLI as decimal.
xli_fwd_1d,float64,decimal_return,XLI 1d Forward Return,higher_is_better,derived: xli[t+1] / xli[t] - 1,Forward 1-trading-day total return of XLI (decimal).
xli_fwd_5d,float64,decimal_return,XLI 5d Forward Return,higher_is_better,derived: xli[t+5] / xli[t] - 1,Forward 5-trading-day total return of XLI (decimal).
xli_fwd_21d,float64,decimal_return,XLI 21d Forward Return,higher_is_better,derived: xli[t+21] / xli[t] - 1,Forward 21-trading-day total return of XLI (decimal).
xli_fwd_63d,float64,decimal_return,XLI 63d Forward Return,higher_is_better,derived: xli[t+63] / xli[t] - 1,Forward 63-trading-day total return of XLI (decimal).
xli_fwd_126d,float64,decimal_return,XLI 126d Forward Return,higher_is_better,derived: xli[t+126] / xli[t] - 1,Forward 126-trading-day total return of XLI (decimal).
xli_fwd_252d,float64,decimal_return,XLI 252d Forward Return,higher_is_better,derived: xli[t+252] / xli[t] - 1,Forward 252-trading-day total return of XLI (decimal).
spy_ret,float64,decimal_return,SPY Daily Return,higher_is_better,derived: spy[t] / spy[t-1] - 1,1-day percent return of SPY as decimal.
spy_fwd_1d,float64,decimal_return,SPY 1d Forward Return,higher_is_better,derived: spy[t+1] / spy[t] - 1,Forward 1-trading-day total return of SPY (decimal).
spy_fwd_5d,float64,decimal_return,SPY 5d Forward Return,higher_is_better,derived: spy[t+5] / spy[t] - 1,Forward 5-trading-day total return of SPY (decimal).
spy_fwd_21d,float64,decimal_return,SPY 21d Forward Return,higher_is_better,derived: spy[t+21] / spy[t] - 1,Forward 21-trading-day total return of SPY (decimal).
spy_fwd_63d,float64,decimal_return,SPY 63d Forward Return,higher_is_better,derived: spy[t+63] / spy[t] - 1,Forward 63-trading-day total return of SPY (decimal).
spy_fwd_126d,float64,decimal_return,SPY 126d Forward Return,higher_is_better,derived: spy[t+126] / spy[t] - 1,Forward 126-trading-day total return of SPY (decimal).
spy_fwd_252d,float64,decimal_return,SPY 252d Forward Return,higher_is_better,derived: spy[t+252] / spy[t] - 1,Forward 252-trading-day total return of SPY (decimal).
